CaseID,ResponseId,StartDate,EndDate,BBC1_1,BBC1_2,BBC1_3,BBC1_4,BBC1_5,BBC1_6,BBC1_7,BBC1_8,BBC1_9,BBC1_10,BBC1_11,BBC1_12,BBC1_13,BBC1_14,BBC1_15,BBC1_16,BBC1_17,BBC1_18,BBC1_19,BBC1_20,prg_qstate_punch,BBC2_1,BBC2_2,BBC2_3,BBC2_4,BBC2_5,BBC2_6,BBC2_7,BBC2_8,BBC2_9,BBC2_10,BBC2_11,BBC3_1,BBC3_2,BBC3_3,BBC3_4,BBC3_5,BBC3_6,BBC3_7,BBC3_8,BBC3_9,BBC3_10,bbc4_order,BBC4_1,BBC4_2,BBC4_3,BBC4_4,BBC4_5,BBC4_6,BBC4_7,BBC4_8,BBC5_1,BBC5_2,BBC5_3,BBC5_4,BBC5_5,BBC6,BBC7,BBC8_1,BBC8_2,BBC8_3,BBC8_4,BBC8_5,BBC8_6,BBC8_7,BBC9,BBC10,BBC11,BBC12,PPWORKA,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,partyid4,urb_sub_rur,xppracem,ind1,pprent_new,MSC,core_par,Weights,BBC1_19_TEXT,BBC7_12_TEXT
638,R_yUTKcp3WtTD9bbj,12/5/2021 19:19:45,12/5/2021 19:48:43,Not Selected,Not Selected,Not Selected,Not Selected,Racial injustice,Climate change,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,New York,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A great deal,Not very much,Not very much,Not very much,None at all,False,False,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree, ,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat concerned,Somewhat concerned,Somewhat concerned,Not very concerned,Very concerned,They are criminals,CNN,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Full-time student,21,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family condo or townhouse attached to other units,"$10,000 to $24,999",Never married,Metro area,Northeast,Rented for cash,Working part-time,NY,2,0,Mid-Atlantic,Independent,Suburban,White,"Health Care (including Elder Care, Home Health Care)",Rented,Inside a suburban county of the MSA,No,.5714254,Skipped,Skipped
639,R_Qgh2LwXzwJlXJmh,12/3/2021 17:56:21,12/3/2021 18:12:07,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,New Jersey,None at all,A fair amount,A fair amount,Not very much,Not very much,A great deal,None at all,A great deal,None at all,A fair amount,None at all,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Very concerned,Very concerned,Not very concerned,Very concerned,Somewhat concerned,They are right-wing domestic terrorists,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Did not vote,No religion, ,Self-employed,67,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$150,000 or more",Divorced,Metro area,Northeast,Rented for cash,Working full-time,NJ,1,0,Mid-Atlantic,Independent,Suburban,White,"Arts, Entertainment, and Recreation",Rented,Outside the center city of an MSA but inside the county containing the center city,Skipped,1.6416142,Skipped,Skipped
640,R_3ml4b5rdaVu0nNA,12/4/2021 1:41:35,12/4/2021 1:54:49,Not Selected,Healthcare,Unemployment,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Texas,None at all,A fair amount,Not very much,Not very much,Not very much,A fair amount,Don’t know/Never heard,None at all,Don’t know/Never heard,Not very much,Don’t know/Never heard,Don’t know,Don’t know,Don’t know,Don’t know,True,True,Don’t know,True,True,Don’t know,2,Don’t know,Don’t know,Don’t know, ,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Somewhat concerned,Somewhat concerned,Don’t know,Not very concerned,They are criminals,Social media,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,Catholic,No,Employed full-time (by someone else),27,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,4,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,South,Rented for cash,Working part-time,TX,4,0,West-South Central,Democrat,Urban,White,Retail/Stores/Shopping (including Online Retail),Rented,In the center city of an MSA,No,1.3349262,Skipped,Skipped
641,R_2xJdCl5YXA1FBJN,12/4/2021 14:31:24,12/4/2021 14:46:44,COVID-19/coronavirus,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,California,Not very much,Not very much,Not very much,Not very much,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,Not very much,False,True,True,False,True,True,False,False,False,False,1,Strongly agree,Somewhat disagree,Don’t know,Don’t know, ,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat concerned,Somewhat concerned,Not very concerned,Somewhat concerned,Very concerned,They are criminals,Other [SPECIFY], Attend a city/town council meeting,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Fully vaccinated plus a booster,Someone else,Catholic,No,Employed part-time (by someone else),72,Bachelor or higher,Master’s degree or above,"2+ races, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Occupied without payment of cash rent,Working part-time,CA,2,0,Pacific,Independent,Suburban,2+ races,"Finance, Banking, and Insurance",Occupied without payment of rent,Outside the center city of an MSA but inside the county containing the center city,No,.2936698,Skipped,Wall Street Journal
642,R_2EAkHSqqpuX4gxz,12/5/2021 16:59:57,12/5/2021 17:20:18,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Opioid or drug addiction,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Indiana,Not very much,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,None at all,Don’t know/Never heard,Don’t know/Never heard,False,Don’t know,Don’t know,Don’t know,False,True,False,Don’t know,True,Don’t know,2,Somewhat disagree,Strongly agree,Don’t know, ,Strongly agree,Don’t know,Somewhat agree,Don’t know,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Don’t know,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Employed full-time (by someone else),57,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,"Other (mobile home, boat, RV, van, etc.)","$50,000 to $74,999",Divorced,Non-metro area,Midwest,Owned or being bought by you or someone in,Working full-time,IN,2,0,East-North Central,Independent,Rural,White,Real Estate and Property Management,Owned by you or someone in your household with a mortgage or loan,Not in an MSA,No,.9396735,Skipped,Skipped
643,R_3GB5932JIn13bin,12/4/2021 0:14:06,12/4/2021 0:21:52,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Not Selected,Climate change,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,New York,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,None at all,A fair amount,A fair amount,Don’t know,True,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Don’t know, ,Strongly agree,Strongly disagree,Somewhat agree,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,They are right-wing domestic terrorists,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,No religion, ,Employed full-time (by someone else),26,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,3,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,3,0,Mid-Atlantic,Democrat,Urban,Asian,"Arts, Entertainment, and Recreation",Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,.4239909,Skipped,Skipped
644,R_wXlC677SWuv0o9P,12/3/2021 20:29:41,12/3/2021 20:34:42,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Social inequality,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Maryland,Not very much,A fair amount,A great deal,A fair amount,A fair amount,A fair amount,Don’t know/Never heard,A fair amount,None at all,Don’t know/Never heard,None at all,False,True,True,False,True,True,False,False,False,True,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Strongly disagree,Somewhat disagree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,They were well-meaning but got carried away in the moment,None of these,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,Other Christian religion,No,Employed full-time (by someone else),46,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,1,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,MD,1,0,South Atlantic,Independent,Suburban,Asian,"Information (including Publishing, Media, Telecom, Internet Search, and Social Networking)",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Skipped,.3593583,Skipped,Skipped
645,R_2AEJaq44giTTHZA,12/3/2021 18:03:44,12/3/2021 18:29:07,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Climate change,Not Selected,Government budget and debt,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,South Carolina,Not very much,Not very much,Not very much,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,Not very much,Not very much,Don’t know/Never heard,False,Don’t know,Don’t know,Don’t know,Don’t know,False,False,False,False,False,2,Don’t know,Don’t know,Somewhat disagree, ,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Very concerned,Somewhat concerned,Not very concerned,Somewhat concerned,Very concerned,They are criminals,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,65,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,SC,2,0,South Atlantic,Independent,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Inside a suburban county of the MSA,No,.4644674,Skipped,Skipped
646,R_3QQSVd2pxBfGJBn,12/4/2021 12:11:08,12/4/2021 12:30:17,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Oklahoma,A fair amount,Not very much,Not very much,A fair amount,A fair amount,A great deal,Don’t know/Never heard,Not very much,Not very much,Not very much,Not very much,False,Don’t know,True,Don’t know,Don’t know,True,False,Don’t know,Don’t know,False,2,Somewhat agree,Don’t know,Don’t know, ,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Very concerned,Very concerned,Not very concerned,Somewhat concerned,Somewhat concerned,They were well-meaning but got carried away in the moment,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump,Catholic,No,Retired,65,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Divorced,Metro area,South,Owned or being bought by you or someone in,Not working,OK,2,0,West-South Central,Republican,Urban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,.8384811,Skipped,Skipped
647,R_9tts9stlmksYhAl,12/3/2021 19:02:26,12/3/2021 19:23:25,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Government budget and debt,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Maine,Not very much,None at all,Not very much,A fair amount,A great deal,A great deal,A great deal,None at all,A fair amount,Not very much,None at all,False,Don’t know,True,False,False,True,False,False,True,False,2,Don’t know,Somewhat agree,Strongly disagree, ,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat concerned,Somewhat concerned,Not very concerned,Not very concerned,Not very concerned,They are criminals,"Conservative online news (e.g. Breitbart, Daily Caller, Instapundit)", Attend a city/town council meeting,Not Selected, Attend a school board meeting,Not Selected,Not Selected,Not Selected,Not Selected,Fully vaccinated,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Employed full-time (by someone else),42,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Working full-time,ME,2,1,New England,Republican,Rural,White,Public Administration,Owned by you or someone in your household with a mortgage or loan,Not in an MSA,Yes,1.0469424,Skipped,Skipped
648,R_rkCL6HDbf9GVi4V,12/5/2021 13:37:35,12/5/2021 16:07:35,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Racial injustice,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Texas,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,None at all,A great deal,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,Don’t know,True,True,Don’t know,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree, ,Strongly agree,Strongly disagree,Don’t know,Somewhat concerned,Somewhat concerned,Don’t know,Don’t know,Don’t know,They are criminals,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,No religion, ,Employed full-time (by someone else),42,Some college,Some college or Associate degree,Hispanic,Female,3,One-family house detached from any other house,"$75,000 to $99,999",Divorced,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,3,0,West-South Central,Democrat,Suburban,White,"Professional, Scientific, Technical, and Business Services",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,No,1.2405868,Skipped,Skipped
649,R_339KnoCw0fya48l,12/3/2021 19:13:49,12/3/2021 20:02:31,Not Selected,Not Selected,Not Selected,Not Selected,Racial injustice,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Social inequality,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Texas,None at all,A fair amount,None at all,Not very much,A fair amount,A great deal,A fair amount,A great deal,None at all,None at all,None at all,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat concerned,Somewhat concerned,Not very concerned,Somewhat concerned,Somewhat concerned,They are criminals,Public television or radio,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Employed full-time (by someone else),56,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,1,One-family house detached from any other house,"$10,000 to $24,999",Separated,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,1,0,West-South Central,Democrat,Urban,Black or African American,Community/Non-Profit Organizations (including Religious and Political Organizations),Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,.5552505,Skipped,Skipped
650,R_vfsRYqwOEwVNpx7,12/3/2021 23:55:15,12/4/2021 0:12:17,COVID-19/coronavirus,Healthcare,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Terrorism,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Georgia,A fair amount,Not very much,A fair amount,Not very much,A fair amount,A fair amount,A fair amount,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,2,Don’t know,Don’t know,Don’t know, ,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,None of these,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Did not vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Full-time student,21,HS,High school graduate (high school diploma or the equivalent GED),"Other, Non-Hispanic",Female,4,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,South,Owned or being bought by you or someone in,Not working,GA,3,1,South Atlantic,Republican,Suburban,Asian,Not asked,Owned by you or someone in your household with a mortgage or loan,Inside a suburban county of the MSA,No,1.6520389,Skipped,Skipped
651,R_9NbJT3NM5QTTqr7,12/3/2021 19:31:09,12/3/2021 19:55:59,Not Selected,Not Selected,Not Selected,Not Selected,Racial injustice,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Arkansas,None at all,A fair amount,A fair amount,A great deal,A fair amount,A great deal,A fair amount,A fair amount,None at all,A fair amount,None at all,Don’t know,True,Don’t know,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Don’t know,Strongly agree,Strongly disagree,Strongly disagree,Somewhat concerned,Somewhat concerned,Not at all concerned,Don’t know,Don’t know,They are criminals,CNN,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,71,HS,High school graduate (high school diploma or the equivalent GED),"Black or African American, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Not working,AR,2,0,West-South Central,Democrat,Rural,Black or African American,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Not in an MSA,No,1.1148783,Skipped,Skipped
652,R_1kZzdadiENGssyt,12/5/2021 14:38:21,12/5/2021 14:51:23,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Climate change,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Social inequality,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Pennsylvania,None at all,A fair amount,Not very much,Skipped,Don’t know/Never heard,A great deal,Don’t know/Never heard,Not very much,None at all,A fair amount,None at all,False,True,True,False,True,True,False,False,False,Don’t know,2,Strongly agree,Strongly disagree,Strongly agree, ,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,They are right-wing domestic terrorists,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,No religion, ,Employed full-time (by someone else),30,Bachelor or higher,Bachelor’s degree,Hispanic,Female,3,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,PA,3,0,Mid-Atlantic,Democrat,Urban,White,Retail/Stores/Shopping (including Online Retail),Owned by you or someone in your household with a mortgage or loan,In the center city of an MSA,No,.6659791,Skipped,Skipped
653,R_22Rp62YfQNvUZst,12/3/2021 22:28:24,12/3/2021 22:36:44,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Taxes,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Washington,A great deal,None at all,None at all,None at all,Not very much,Not very much,Not very much,None at all,Not very much,None at all,A great deal,True,False,False,True,False,True,False,True,True,True,2,Strongly disagree,Strongly agree,Strongly disagree, ,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Not at all concerned,Not at all concerned,Very concerned,Not at all concerned,Not at all concerned,They are patriots who were fighting to preserve our freedoms,Other [SPECIFY],Not Selected,Not Selected,Not Selected,Not Selected, Donate money to a political campaign,Not Selected,Not Selected,Fully vaccinated,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Employed full-time (by someone else),38,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,WA,3,2,Pacific,Republican,Suburban,Asian,"Professional, Scientific, Technical, and Business Services",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Yes,.3817378,Skipped,Patriots.win
654,R_9YnlDM8PeptzmHn,12/3/2021 22:20:04,12/3/2021 22:43:47,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Climate change,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nuclear conflict,Not Selected,Not Selected,Not Selected,Not Selected,Texas,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,Don’t know/Never heard,Don’t know/Never heard,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Somewhat agree, ,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Very concerned,Very concerned,Not at all concerned,Not at all concerned,Somewhat concerned,They were well-meaning but got carried away in the moment,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Did not vote, Hindu, ,Employed full-time (by someone else),38,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,4,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,South,Rented for cash,Working full-time,TX,2,2,West-South Central,Democrat,Urban,Asian,"Professional, Scientific, Technical, and Business Services",Rented,In the center city of an MSA,Yes,1.1302758,Skipped,Skipped
655,R_307bh9VErXcfG3B,12/3/2021 19:23:46,12/3/2021 19:28:03,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Not Selected,Climate change,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Delaware,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,A fair amount,None at all,Not very much,None at all,False,True,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Don’t know, ,Somewhat agree,Strongly disagree,Somewhat disagree,Very concerned,Very concerned,Not very concerned,Somewhat concerned,Very concerned,They are right-wing domestic terrorists,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,Catholic,No,Employed full-time (by someone else),35,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,DE,3,0,South Atlantic,Independent,Suburban,Asian,"Finance, Banking, and Insurance",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Skipped,.4272795,Skipped,Skipped
656,R_1EZjT6yzQ8o4UBu,12/4/2021 20:40:59,12/4/2021 20:57:42,COVID-19/coronavirus,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Climate change,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,New Jersey,None at all,A great deal,A fair amount,Not very much,None at all,A great deal,Not very much,A great deal,None at all,A fair amount,None at all,False,True,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Strongly disagree,Strongly disagree,Very concerned,Very concerned,Not very concerned,Somewhat concerned,Very concerned,They are right-wing domestic terrorists,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected, Donate money to a political campaign,Not Selected,Not Selected,Fully vaccinated,Joe Biden,Catholic,No,Employed full-time (by someone else),53,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,3,Building with 2 or more apartments,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NJ,2,1,Mid-Atlantic,Democrat,Suburban,White,Repairs and Maintenance,Owned by you or someone in your household free and clear (without a mortgage or loan),Inside a suburban county of the MSA,Yes,.8758604,Skipped,Skipped
657,R_3PsOikZqT34qcXT,12/5/2021 7:52:12,12/5/2021 8:09:17,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Racial injustice,Not Selected,Not Selected,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,California,None at all,A fair amount,Not very much,Not very much,A fair amount,A fair amount,A fair amount,A fair amount,None at all,Don’t know/Never heard,None at all,Don’t know,True,Don’t know,False,True,Don’t know,False,False,False,Don’t know,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Somewhat agree,Somewhat disagree,Don’t know,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,They are right-wing domestic terrorists,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above","No, but I plan to get the vaccine",Joe Biden,Catholic,No,Currently laid off,40,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,6 or more,One-family house detached from any other house,"$25,000 to $49,999",Divorced,Metro area,West,Owned or being bought by you or someone in,Not working,CA,5,1,Pacific,Democrat,Suburban,White,Not asked,Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Yes,.8776177,Skipped,Skipped
